########## TRIAL 1 ##########
--- Training Tanh model ---
Epoch 14/15 | Train Loss: 0.5775 | Test Loss: 0.8826 | Acc: 0.7072
Epoch 15/15 | Train Loss: 0.5657 | Test Loss: 0.8284 | Acc: 0.7308
--- Training ReLU model ---
Epoch 1/15 | Train Loss: 1.8582 | Test Loss: 1.4383 | Acc: 0.4721
Epoch 2/15 | Train Loss: 1.2275 | Test Loss: 1.0744 | Acc: 0.6180
Epoch 3/15 | Train Loss: 0.9108 | Test Loss: 0.8824 | Acc: 0.6876
Epoch 4/15 | Train Loss: 0.7212 | Test Loss: 0.7801 | Acc: 0.7287
Epoch 5/15 | Train Loss: 0.5881 | Test Loss: 0.7626 | Acc: 0.7401
Epoch 6/15 | Train Loss: 0.4759 | Test Loss: 0.7618 | Acc: 0.7606
Epoch 7/15 | Train Loss: 0.3766 | Test Loss: 0.8432 | Acc: 0.7466
Epoch 8/15 | Train Loss: 0.3179 | Test Loss: 0.9258 | Acc: 0.7393
Epoch 9/15 | Train Loss: 0.2722 | Test Loss: 0.9563 | Acc: 0.7377
Epoch 10/15 | Train Loss: 0.2459 | Test Loss: 1.0797 | Acc: 0.7355
Epoch 11/15 | Train Loss: 0.2357 | Test Loss: 1.0995 | Acc: 0.7376
Epoch 12/15 | Train Loss: 0.2386 | Test Loss: 1.0938 | Acc: 0.7407
Epoch 13/15 | Train Loss: 0.2165 | Test Loss: 1.1645 | Acc: 0.7442
Epoch 14/15 | Train Loss: 0.2049 | Test Loss: 1.3256 | Acc: 0.7290
Epoch 15/15 | Train Loss: 0.2187 | Test Loss: 1.2812 | Acc: 0.7382
--- Training GELU model ---
Epoch 1/15 | Train Loss: 2.3033 | Test Loss: 2.3032 | Acc: 0.1000
Epoch 2/15 | Train Loss: 1.8737 | Test Loss: 1.5743 | Acc: 0.4225
Epoch 3/15 | Train Loss: 1.2743 | Test Loss: 1.0801 | Acc: 0.6087
Epoch 4/15 | Train Loss: 0.8994 | Test Loss: 0.8506 | Acc: 0.7064
Epoch 5/15 | Train Loss: 0.6683 | Test Loss: 0.7268 | Acc: 0.7456
Epoch 6/15 | Train Loss: 0.4994 | Test Loss: 0.7152 | Acc: 0.7644
Epoch 7/15 | Train Loss: 0.3414 | Test Loss: 0.7329 | Acc: 0.7652
Epoch 8/15 | Train Loss: 0.2255 | Test Loss: 0.8367 | Acc: 0.7593
Epoch 9/15 | Train Loss: 0.1512 | Test Loss: 0.9434 | Acc: 0.7660
Epoch 10/15 | Train Loss: 0.1178 | Test Loss: 0.9618 | Acc: 0.7655
Epoch 11/15 | Train Loss: 0.0852 | Test Loss: 1.0307 | Acc: 0.7720
Epoch 12/15 | Train Loss: 0.0684 | Test Loss: 1.1383 | Acc: 0.7640
Epoch 13/15 | Train Loss: 0.0816 | Test Loss: 1.1695 | Acc: 0.7590
Epoch 14/15 | Train Loss: 0.0683 | Test Loss: 1.1793 | Acc: 0.7605
Epoch 15/15 | Train Loss: 0.0693 | Test Loss: 1.1730 | Acc: 0.7653
########## TRIAL 5 ##########
--- Training Tanh model ---
Epoch 1/15 | Train Loss: 1.4757 | Test Loss: 1.1532 | Acc: 0.5929
Epoch 2/15 | Train Loss: 1.0737 | Test Loss: 1.0511 | Acc: 0.6303
Epoch 3/15 | Train Loss: 0.9545 | Test Loss: 1.0021 | Acc: 0.6494
Epoch 4/15 | Train Loss: 0.8805 | Test Loss: 0.9855 | Acc: 0.6645
Epoch 5/15 | Train Loss: 0.8291 | Test Loss: 0.8698 | Acc: 0.7047
Epoch 6/15 | Train Loss: 0.7793 | Test Loss: 0.8505 | Acc: 0.7092
Epoch 7/15 | Train Loss: 0.7460 | Test Loss: 0.8872 | Acc: 0.6979
Epoch 8/15 | Train Loss: 0.7126 | Test Loss: 0.8521 | Acc: 0.7148
Epoch 9/15 | Train Loss: 0.6787 | Test Loss: 0.8550 | Acc: 0.7098
Epoch 10/15 | Train Loss: 0.6714 | Test Loss: 0.8375 | Acc: 0.7226
Epoch 11/15 | Train Loss: 0.6410 | Test Loss: 0.8671 | Acc: 0.7144
Epoch 12/15 | Train Loss: 0.6163 | Test Loss: 0.8582 | Acc: 0.7180
Epoch 13/15 | Train Loss: 0.6003 | Test Loss: 0.8496 | Acc: 0.7224
Epoch 14/15 | Train Loss: 0.5870 | Test Loss: 0.8841 | Acc: 0.7083
Epoch 15/15 | Train Loss: 0.5736 | Test Loss: 0.9393 | Acc: 0.7026
--- Training ReLU model ---
Epoch 1/15 | Train Loss: 1.9361 | Test Loss: 1.4830 | Acc: 0.4572
Epoch 2/15 | Train Loss: 1.2177 | Test Loss: 1.0089 | Acc: 0.6465
Epoch 3/15 | Train Loss: 0.9062 | Test Loss: 0.8379 | Acc: 0.7083
Epoch 4/15 | Train Loss: 0.7207 | Test Loss: 0.8158 | Acc: 0.7268
Epoch 5/15 | Train Loss: 0.5809 | Test Loss: 0.7218 | Acc: 0.7555
Epoch 6/15 | Train Loss: 0.4694 | Test Loss: 0.7470 | Acc: 0.7521
Epoch 7/15 | Train Loss: 0.3831 | Test Loss: 0.8031 | Acc: 0.7458
Epoch 8/15 | Train Loss: 0.3109 | Test Loss: 0.8499 | Acc: 0.7585
Epoch 9/15 | Train Loss: 0.2664 | Test Loss: 0.9899 | Acc: 0.7369
Epoch 10/15 | Train Loss: 0.2417 | Test Loss: 0.9759 | Acc: 0.7504
Epoch 11/15 | Train Loss: 0.2348 | Test Loss: 1.0560 | Acc: 0.7420
Epoch 12/15 | Train Loss: 0.2172 | Test Loss: 1.1012 | Acc: 0.7386
Epoch 13/15 | Train Loss: 0.2127 | Test Loss: 1.0808 | Acc: 0.7510
Epoch 14/15 | Train Loss: 0.2122 | Test Loss: 1.2083 | Acc: 0.7378
Epoch 15/15 | Train Loss: 0.2142 | Test Loss: 1.2382 | Acc: 0.7361
--- Training GELU model ---
Epoch 1/15 | Train Loss: 2.3034 | Test Loss: 2.3032 | Acc: 0.1000
Epoch 2/15 | Train Loss: 2.3032 | Test Loss: 2.3021 | Acc: 0.1000
Epoch 3/15 | Train Loss: 1.7869 | Test Loss: 1.3969 | Acc: 0.4874
Epoch 4/15 | Train Loss: 1.2049 | Test Loss: 1.0432 | Acc: 0.6296
Epoch 5/15 | Train Loss: 0.8563 | Test Loss: 0.8086 | Acc: 0.7214
Epoch 6/15 | Train Loss: 0.6218 | Test Loss: 0.7860 | Acc: 0.7339
Epoch 7/15 | Train Loss: 0.4381 | Test Loss: 0.7586 | Acc: 0.7545
Epoch 8/15 | Train Loss: 0.2795 | Test Loss: 0.8324 | Acc: 0.7538
Epoch 9/15 | Train Loss: 0.1749 | Test Loss: 0.9283 | Acc: 0.7541
Epoch 10/15 | Train Loss: 0.1281 | Test Loss: 1.0543 | Acc: 0.7472
Epoch 11/15 | Train Loss: 0.0952 | Test Loss: 1.1448 | Acc: 0.7497
Epoch 12/15 | Train Loss: 0.0855 | Test Loss: 1.1364 | Acc: 0.7527
Epoch 13/15 | Train Loss: 0.0850 | Test Loss: 1.1903 | Acc: 0.7533
Epoch 14/15 | Train Loss: 0.0717 | Test Loss: 1.2728 | Acc: 0.7551
Epoch 15/15 | Train Loss: 0.0633 | Test Loss: 1.3895 | Acc: 0.7457
